[18:15:54] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/INFO]: Reloading ResourceManager: Default
[18:15:55] [Worker-Main-9/INFO]: Loaded 7 recipes
[18:15:56] [Worker-Main-9/INFO]: Loaded 1141 advancements
[18:15:59] [Server thread/INFO]: Starting minecraft server version 1.18.1
[18:15:59] [Server thread/INFO]: Loading properties
[18:15:59] [Server thread/INFO]: Default game type: SURVIVAL
[18:15:59] [Server thread/INFO]: Generating keypair
[18:16:00] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:16:00] [Server thread/INFO]: Using default channel type
[18:16:01] [Server thread/INFO]: Preparing level "world"
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:22] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:22] [Worker-Main-13/INFO]: Preparing spawn area: 2%
[18:16:23] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[18:16:23] [Worker-Main-9/INFO]: Preparing spawn area: 13%
[18:16:24] [Worker-Main-12/INFO]: Preparing spawn area: 13%
[18:16:24] [Worker-Main-10/INFO]: Preparing spawn area: 13%
[18:16:25] [Worker-Main-14/INFO]: Preparing spawn area: 16%
[18:16:25] [Worker-Main-8/INFO]: Preparing spawn area: 18%
[18:16:26] [Worker-Main-13/INFO]: Preparing spawn area: 20%
[18:16:26] [Worker-Main-11/INFO]: Preparing spawn area: 27%
[18:16:27] [Worker-Main-9/INFO]: Preparing spawn area: 31%
[18:16:27] [Worker-Main-14/INFO]: Preparing spawn area: 33%
[18:16:28] [Worker-Main-8/INFO]: Preparing spawn area: 36%
[18:16:28] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[18:16:29] [Worker-Main-8/INFO]: Preparing spawn area: 40%
[18:16:29] [Worker-Main-8/INFO]: Preparing spawn area: 42%
[18:16:30] [Worker-Main-9/INFO]: Preparing spawn area: 42%
[18:16:30] [Worker-Main-11/INFO]: Preparing spawn area: 43%
[18:16:31] [Worker-Main-12/INFO]: Preparing spawn area: 43%
[18:16:31] [Worker-Main-10/INFO]: Preparing spawn area: 43%
[18:16:32] [Worker-Main-10/INFO]: Preparing spawn area: 43%
[18:16:32] [Worker-Main-13/INFO]: Preparing spawn area: 43%
[18:16:33] [Worker-Main-12/INFO]: Preparing spawn area: 43%
[18:16:33] [Worker-Main-11/INFO]: Preparing spawn area: 43%
[18:16:34] [Worker-Main-13/INFO]: Preparing spawn area: 44%
[18:16:34] [Worker-Main-9/INFO]: Preparing spawn area: 44%
[18:16:35] [Worker-Main-8/INFO]: Preparing spawn area: 44%
[18:16:35] [Worker-Main-8/INFO]: Preparing spawn area: 46%
[18:16:36] [Worker-Main-13/INFO]: Preparing spawn area: 46%
[18:16:36] [Worker-Main-13/INFO]: Preparing spawn area: 46%
[18:16:37] [Worker-Main-9/INFO]: Preparing spawn area: 47%
[18:16:37] [Worker-Main-9/INFO]: Preparing spawn area: 47%
[18:16:38] [Worker-Main-8/INFO]: Preparing spawn area: 49%
[18:16:38] [Worker-Main-9/INFO]: Preparing spawn area: 51%
[18:16:39] [Worker-Main-10/INFO]: Preparing spawn area: 53%
[18:16:39] [Worker-Main-11/INFO]: Preparing spawn area: 55%
[18:16:40] [Worker-Main-11/INFO]: Preparing spawn area: 55%
[18:16:40] [Worker-Main-11/INFO]: Preparing spawn area: 58%
[18:16:41] [Worker-Main-14/INFO]: Preparing spawn area: 60%
[18:16:41] [Worker-Main-14/INFO]: Preparing spawn area: 63%
[18:16:42] [Worker-Main-14/INFO]: Preparing spawn area: 70%
[18:16:42] [Worker-Main-14/INFO]: Preparing spawn area: 82%
[18:16:43] [Worker-Main-9/INFO]: Preparing spawn area: 85%
[18:16:43] [Worker-Main-10/INFO]: Preparing spawn area: 87%
[18:16:44] [Worker-Main-10/INFO]: Preparing spawn area: 88%
[18:16:44] [Worker-Main-9/INFO]: Preparing spawn area: 91%
[18:16:45] [Worker-Main-14/INFO]: Preparing spawn area: 95%
[18:16:45] [Worker-Main-9/INFO]: Preparing spawn area: 98%
[18:16:46] [Server thread/INFO]: Time elapsed: 44858 ms
[18:16:46] [Server thread/INFO]: Done (45.026s)! For help, type "help"
